"station_number","c2","c3","c4","c5","c6","c7","c8"
1000,1,2,4,4,1,2,7
1001,1,2,4,4,1,2,7
1002,1,3,1,5,4,6,2
1003,1,3,1,5,4,6,2
1004,1,3,1,5,4,6,5
1005,1,2,4,4,4,2,2
1006,1,3,1,5,4,2,2
1007,1,3,1,5,4,6,2
1008,1,2,4,4,1,2,7
1009,1,2,4,4,1,2,7
1010,1,2,4,4,1,2,7
1011,1,2,4,4,1,2,7
1012,1,2,4,4,1,3,8
1013,1,2,4,4,1,2,7
1014,1,2,4,4,1,2,7
1015,1,2,4,4,1,2,7
1016,1,2,4,4,1,2,7
1017,1,2,4,4,1,2,7
1018,1,2,4,4,1,2,7
1019,1,2,4,4,1,2,7
1020,2,1,2,1,3,5,3
1021,2,1,2,1,3,5,3
1022,2,1,2,1,3,5,3
1023,2,1,2,1,3,5,3
1024,2,1,2,1,3,5,3
1025,2,1,2,1,3,5,3
1026,2,1,2,1,3,5,3
1027,2,1,2,1,3,5,3
1028,2,1,2,1,3,5,3
1029,2,1,2,1,3,5,3
1030,2,1,2,1,3,5,3
1031,2,1,2,1,3,5,3
1032,2,1,2,1,3,5,3
1033,2,1,2,1,3,5,3
1034,2,1,2,1,3,5,3
1035,2,1,2,1,3,5,3
1036,2,1,3,2,6,7,4
1037,2,1,3,2,6,7,4
1038,2,1,3,2,6,7,4
1039,2,1,3,2,6,7,4
1040,2,1,2,1,3,5,3
1041,2,1,3,2,6,7,4
1042,1,3,1,3,2,4,6
1043,1,3,3,5,4,6,3
1044,1,3,3,5,4,6,3
1045,1,3,1,5,4,6,5
1046,1,3,1,5,4,6,2
1047,1,3,1,5,4,6,2
1048,1,3,1,5,4,6,2
1049,1,3,1,5,4,6,2
1050,1,2,1,3,5,1,1
1061,1,2,4,4,1,2,7
