"from","to","freq","duration_s"
"1000","1000",4997,5421.32439463678
"1000","1001",644,6298.62732919255
"1000","1002",119,4463.14285714286
"1000","1003",128,2888.640625
"1000","1004",99,6045.57575757576
"1000","1005",76,5129.6447368421
"1000","1006",94,4814.10638297872
"1000","1007",106,4386.82075471698
"1000","1008",55,3201.07272727273
"1000","1009",224,3063.24553571429
"1000","1010",487,3176.6386036961
"1000","1011",93,4330.0752688172
"1000","1012",523,3386.88145315488
"1000","1013",467,3642.54175588865
"1000","1014",118,3861.55084745763
"1000","1015",180,3504.58888888889
"1000","1016",647,1898.06646058733
"1000","1017",708,2826.52683615819
"1000","1018",176,3733.55681818182
"1000","1019",233,4695.2660944206
"1000","1020",26,10764.7307692308
"1000","1021",43,7067.20930232558
"1000","1022",8,4584.125
"1000","1023",4,3566
"1000","1024",2,1292
"1000","1025",10,4572.2
"1000","1026",167,2911.79041916168
"1000","1027",1,2078
"1000","1028",4,10401.5
"1000","1029",2,7077.5
"1000","1030",10,2788.2
"1000","1031",2,2648
"1000","1032",7,3283.85714285714
"1000","1033",22,3811.90909090909
"1000","1034",5,7499.4
"1000","1035",21,19164.3333333333
"1000","1036",20,4024.05
"1000","1037",12,4449.16666666667
"1000","1038",23,14813.0869565217
"1000","1039",30,4471.76666666667
"1000","1040",19,4889.1052631579
"1000","1041",22,16136.4090909091
"1000","1042",12,2178.33333333333
"1000","1043",11,2062
"1000","1044",43,2861.06976744186
"1000","1045",320,3765.6125
"1000","1046",59,5845.6779661017
"1000","1047",328,2005.79573170732
"1000","1048",277,2233.65703971119
"1000","1049",253,3385.48616600791
"1000","1050",31,23419.1935483871
"1000","1061",50,6455.32
"1001","1000",818,5844.34596577017
"1001","1001",3452,5971.59154113557
"1001","1002",138,5196.94927536232
"1001","1003",149,3641.25503355705
"1001","1004",91,2684.86813186813
"1001","1005",100,2393.49
"1001","1006",74,2259.77027027027
"1001","1007",186,2872.7688172043
"1001","1008",79,3949.77215189873
"1001","1009",444,1466.77927927928
"1001","1010",478,3441.08158995816
"1001","1011",127,6461.74015748032
"1001","1012",598,3749.67224080268
"1001","1013",529,4026.7618147448
"1001","1014",136,3481.18382352941
"1001","1015",307,4346.47231270358
"1001","1016",619,1887.62197092084
"1001","1017",867,2620.12687427912
"1001","1018",219,4609.85388127854
"1001","1019",275,2907.99636363636
"1001","1020",17,2839.70588235294
"1001","1021",31,7312.87096774194
"1001","1022",15,16014.3333333333
"1001","1023",13,3704.46153846154
"1001","1024",9,3999
"1001","1025",36,7574.72222222222
"1001","1026",18,5143.27777777778
"1001","1027",2,42858
"1001","1028",10,4914
"1001","1029",5,7249
"1001","1030",3,3860.33333333333
"1001","1031",2,4115.5
"1001","1032",5,28379.6
"1001","1033",10,13561.2
"1001","1034",8,19344.875
"1001","1035",20,6583.75
"1001","1036",40,4275.35
"1001","1037",4,4145
"1001","1038",6,3641
"1001","1039",25,5721.88
"1001","1040",14,8497.5
"1001","1041",15,7036.26666666667
"1001","1042",3,24406.3333333333
"1001","1043",20,4711.8
"1001","1044",54,4548.94444444444
"1001","1045",380,4161.62105263158
"1001","1046",163,3793.80368098159
"1001","1047",268,2623.39925373134
"1001","1048",219,4048.92237442922
"1001","1049",484,1976.45661157025
"1001","1050",62,13012.9193548387
"1001","1061",58,5033.34482758621
"1002","1000",245,3382.77551020408
"1002","1001",158,4895.98734177215
"1002","1002",823,5146.24422843256
"1002","1003",86,3928.97674418605
"1002","1004",57,4968.82456140351
"1002","1005",36,6780.58333333333
"1002","1006",41,2508.53658536585
"1002","1007",52,970.711538461538
"1002","1008",12,661.25
"1002","1009",95,1498.44210526316
"1002","1010",85,1577.77647058824
"1002","1011",43,6489.95348837209
"1002","1012",118,2045.40677966102
"1002","1013",79,4060.15189873418
"1002","1014",35,1181.74285714286
"1002","1015",115,4097.21739130435
"1002","1016",89,1657.3595505618
"1002","1017",99,3214.79797979798
"1002","1018",45,6021.53333333333
"1002","1019",88,1970.39772727273
"1002","1020",18,5681.27777777778
"1002","1021",2,2513
"1002","1022",1,9827
"1002","1023",0,0
"1002","1024",1,2318
"1002","1025",2,2753.5
"1002","1026",0,0
"1002","1027",0,0
"1002","1028",2,2013
"1002","1029",0,0
"1002","1030",1,2149
"1002","1031",0,0
"1002","1032",12,2932.5
"1002","1033",11,3093.63636363636
"1002","1034",2,2706.5
"1002","1035",0,0
"1002","1036",18,2957.5
"1002","1037",7,2424.42857142857
"1002","1038",7,6703.14285714286
"1002","1039",1,1496
"1002","1040",1,1784
"1002","1041",4,3439
"1002","1042",3,46964.3333333333
"1002","1043",8,2564.25
"1002","1044",33,1699.72727272727
"1002","1045",289,1745.88581314879
"1002","1046",129,1946.67441860465
"1002","1047",226,1855.16371681416
"1002","1048",523,3145.41108986616
"1002","1049",393,2777.84987277354
"1002","1050",11,28261.7272727273
"1002","1061",7,21771.8571428571
"1003","1000",151,3213
"1003","1001",218,3952.29357798165
"1003","1002",66,5366.93939393939
"1003","1003",781,5469.05633802817
"1003","1004",130,3147.89230769231
